ID,RANGO,TITULO,VENTAS,SERIES,PLATAFORMA,FECHA DE SALIDA,DESARROLLADOR,PUBLICADOR
1,1,Minecraft,238000000,Minecraft,Multi-platform,2011-11-18,Mojang Studios,Xbox Game Studios
2,3,Tetris (EA),100000000,Tetris,Multi-platform,2006-09-12,EA Mobile,Electronic Arts
3,7,Mario Kart 8 / Deluxe,55280000,Mario Kart,Wii U / Switch,2014-04-29,Nintendo EAD,Nintendo
4,5,PUBG: Battlegrounds,75000000,PUBG Universe,Multi-platform,2017-12-20,PUBG Corporation,PUBG Corporation
5,2,Grand Theft Auto V,169000000,Grand Theft Auto,Multi-platform,2013-09-17,Rockstar North,Rockstar Games
6,10,Red Dead Redemption 2,45000000,Red Dead,Multi-platform,2018-10-26,Rockstar Studios,Rockstar Games
7,6,Super Mario Bros,58000000,Super Mario,Multi-platform,1985-09-13,Nintendo R&D4,Nintendo
8,9,Pokémon Red / Green / Blue / Yellow,47520000,Pokémon,Game Boy / Color,1996-02-27,Game Freak,Nintendo
9,4,Wii Sports,82900000,Wii,Wii,2006-11-19,Nintendo EAD,Nintendo
10,8,Overwatch,50000000,Overwatch,Multi-platform,2016-05-24,Blizzard Entertainment,Blizzard Entertainment
